date,hour,open,high,low,close,real_volume,tick_volume
2015.08.12,09:00:00,50280,50440,50030,50140,19023,7269
2015.08.12,09:30:00,50145,50155,49550,49630,25125,9935
2015.08.12,10:00:00,49635,49680,49415,49570,27449,10383
2015.08.12,10:30:00,49565,49590,49065,49225,46598,17502
2015.08.12,11:00:00,49220,49425,49130,49425,27811,10744
2015.08.12,11:30:00,49425,49615,49275,49285,31493,11898
2015.08.12,12:00:00,49285,49400,48945,48955,31858,12090
2015.08.12,12:30:00,48960,49240,48945,49225,17127,6432
2015.08.12,13:00:00,49225,49275,49135,49195,15745,5895
2015.08.12,13:30:00,49195,49450,49135,49350,19077,7169
2015.08.12,14:00:00,49350,49690,49290,49600,25060,9062
2015.08.12,14:30:00,49595,49650,49520,49605,15433,6091
2015.08.12,15:00:00,49600,49600,49270,49290,22627,8526
2015.08.12,15:30:00,49290,49345,49070,49090,30068,11636
2015.08.12,16:00:00,49090,49225,49040,49120,24319,9184
2015.08.12,16:30:00,49120,49290,49090,49270,18263,6707
2015.08.12,17:00:00,49265,49395,49250,49380,11580,3754
2015.08.12,17:30:00,49380,49445,49370,49435,6430,2000
2015.08.13,09:00:00,49620,49760,49450,49545,17827,6886
2015.08.13,09:30:00,49545,49685,49405,49420,21891,8484
2015.08.13,10:00:00,49420,49550,49265,49280,31072,11954
2015.08.13,10:30:00,49280,49310,48960,49170,49872,18693
2015.08.13,11:00:00,49165,49170,48725,48765,37936,15070
2015.08.13,11:30:00,48760,48930,48705,48860,21321,8679
2015.08.13,12:00:00,48850,49025,48835,48920,22625,8793
2015.08.13,12:30:00,48925,49040,48875,48935,14367,5804
2015.08.13,13:00:00,48930,49020,48790,48830,14445,5538
2015.08.13,13:30:00,48820,48820,48660,48675,14012,5492
2015.08.13,14:00:00,48665,48855,48615,48830,16722,6579
2015.08.13,14:30:00,48830,48855,48700,48750,13442,5433
2015.08.13,15:00:00,48750,48840,48720,48770,11999,4860
2015.08.13,15:30:00,48770,49090,48730,49015,22049,8520
2015.08.13,16:00:00,49020,49135,48875,48935,23677,8742
2015.08.13,16:30:00,48935,48960,48780,48805,18707,7063
2015.08.13,17:00:00,48805,48840,48630,48670,12843,4155
2015.08.13,17:30:00,48670,48770,48580,48580,7339,2299
2015.08.14,09:00:00,48695,48940,48680,48885,13173,5590
2015.08.14,09:30:00,48890,48950,48780,48860,15862,6639
2015.08.14,10:00:00,48860,49040,48710,48810,29754,11225
2015.08.14,10:30:00,48815,48980,48540,48620,41092,15862
2015.08.14,11:00:00,48625,48680,48435,48560,32663,12371
2015.08.14,11:30:00,48560,48720,48500,48610,21279,8480
2015.08.14,12:00:00,48610,48820,48560,48770,19801,7415
2015.08.14,12:30:00,48765,48780,48540,48565,16223,5922
2015.08.14,13:00:00,48565,48635,48500,48535,10858,4472
2015.08.14,13:30:00,48535,48600,48450,48535,9480,3804
2015.08.14,14:00:00,48535,48570,48495,48530,7287,2895
2015.08.14,14:30:00,48525,48580,48470,48525,8986,3617
2015.08.14,15:00:00,48525,48625,48515,48560,8392,3183
2015.08.14,15:30:00,48560,48590,48465,48530,10127,4114
2015.08.14,16:00:00,48535,48675,48520,48570,14747,5568
2015.08.14,16:30:00,48570,48585,48345,48410,18471,6625
2015.08.14,17:00:00,48410,48430,48285,48340,13730,4728
2015.08.14,17:30:00,48340,48390,48300,48390,4571,1378
2015.08.17,09:00:00,48395,48410,48130,48200,17316,6986
2015.08.17,09:30:00,48195,48210,48080,48130,12374,5244
2015.08.17,10:00:00,48130,48320,48095,48240,20506,8338
2015.08.17,10:30:00,48240,48590,48115,48525,44338,17062
2015.08.17,11:00:00,48525,48650,48475,48610,26137,10286
2015.08.17,11:30:00,48615,48620,48335,48350,26554,10643
2015.08.17,12:00:00,48350,48515,48280,48410,21667,8780
2015.08.17,12:30:00,48405,48505,48290,48320,15147,5922
2015.08.17,13:00:00,48320,48345,48180,48235,14417,5825
2015.08.17,13:30:00,48240,48305,48190,48240,10739,4148
2015.08.17,14:00:00,48240,48295,48215,48265,7946,2908
2015.08.17,14:30:00,48260,48345,48200,48215,12257,4981
2015.08.17,15:00:00,48220,48275,48160,48210,11940,4714
