frequencies;date_range;0;1;2;3;4;total;0;1;2;3;4;1&2;3&4&0
1M_03M;2019.11.21_2021.01.20;8104;19858;19502;2348;2458;52270;15,50%;38,00%;37,30%;4,50%;4,70%;75,30%;24,70%
1M_05M;2015.08.12_2015.12.30;804;4145;4271;469;494;10183;7,90%;40,70%;41,90%;4,60%;4,90%;82,60%;17,40%
1M_05M;2016.08.03_2016.11.18;714;3347;3199;421;357;8038;8,90%;41,60%;39,80%;5,20%;4,40%;81,40%;18,60%
1M_05M;2019.11.21_2021.01.20;2175;13046;12724;1653;1685;31283;7,00%;41,70%;40,70%;5,30%;5,40%;82,40%;17,60%
1M_10M;2015.08.12_2015.12.30;155;2183;2231;295;272;5136;3,00%;42,50%;43,40%;5,70%;5,30%;85,90%;14,10%
1M_10M;2016.08.03_2016.11.18;226;1795;1686;233;181;4121;5,50%;43,60%;40,90%;5,70%;4,40%;84,50%;15,50%
1M_10M;2019.11.21_2021.01.20;486;6842;6688;873;873;15762;3,10%;43,40%;42,40%;5,50%;5,50%;85,80%;14,20%
1M_15M;2015.08.12_2015.12.30;83;1478;1484;192;189;3426;2,40%;43,10%;43,30%;5,60%;5,50%;86,50%;13,50%
1M_15M;2016.08.03_2016.11.18;144;1223;1157;139;126;2789;5,20%;43,90%;41,50%;5,00%;4,50%;85,30%;14,70%
1M_15M;2019.11.21_2021.01.20;231;4563;4491;610;639;10534;2,20%;43,30%;42,60%;5,80%;6,10%;86,00%;14,00%
1M_30M;2015.08.12_2015.12.30;26;742;754;98;96;1716;1,50%;43,20%;43,90%;5,70%;5,60%;87,20%;12,80%
1M_30M;2016.08.03_2016.11.18;44;610;574;72;55;1355;3,20%;45,00%;42,40%;5,30%;4,10%;87,40%;12,60%
1M_30M;2019.11.21_2021.01.20;103;2328;2276;304;290;5301;1,90%;43,90%;42,90%;5,70%;5,50%;86,90%;13,10%
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
frequencies;Sum of 0;Sum of 1;Sum of 2;Sum of 3;Sum of 4;total;1&2;3&4&0;;;;;;
1M_03M;8104;19858;19502;2348;2458;52270;75,30%;24,70%;;;;;;
1M_05M;3693;20538;20194;2543;2536;49504;82,28%;17,72%;;;;;;
1M_10M;867;10820;10605;1401;1326;25019;85,63%;14,37%;;;;;;
1M_15M;458;7264;7132;941;954;16749;85,95%;14,05%;;;;;;
1M_30M;173;3680;3604;474;441;8372;87,00%;13,00%;;;;;;
Total;13295;62160;61037;7707;7715;151914;81,10%;18,90%;;;;;;
