date,hour,open,high,low,close,real_volume,tick_volume,spread
2016.11.18,18:00:00,3395.5,3396.5,3392,3396,2451,593,500
2016.11.18,17:45:00,3396,3399.5,3394,3395.5,3502,1395,500
2016.11.18,17:30:00,3397.5,3398,3391,3396.5,9849,3616,500
2016.11.18,17:15:00,3400,3401,3395,3397,4761,2128,500
2016.11.18,17:00:00,3399.5,3405.5,3398.5,3400.5,7342,3016,500
2016.11.18,16:45:00,3395.5,3399.5,3394,3399.5,5953,2399,500
2016.11.18,16:30:00,3394.5,3396.5,3392,3395,7641,3137,500
2016.11.18,16:15:00,3395.5,3397,3393.5,3394.5,7855,3291,500
2016.11.18,16:00:00,3400,3405,3394.5,3395,11439,4832,500
2016.11.18,15:45:00,3397.5,3402,3396.5,3400.5,7344,3314,500
2016.11.18,15:30:00,3396,3400,3393.5,3397.5,8621,3665,500
2016.11.18,15:15:00,3398.5,3402,3395,3396,8587,3715,500
2016.11.18,15:00:00,3403.5,3404,3398,3399,8404,3384,500
2016.11.18,14:45:00,3403.5,3406.5,3401,3403,9113,4048,500
2016.11.18,14:30:00,3404,3407.5,3398,3403.5,14739,6028,500
2016.11.18,14:15:00,3405,3413,3403.5,3404,18907,7748,500
2016.11.18,14:00:00,3404.5,3408.5,3402,3405,14486,5966,500
2016.11.18,13:45:00,3397.5,3405.5,3397.5,3404.5,15260,6153,500
2016.11.18,13:30:00,3387.5,3401,3384.5,3397.5,22709,8941,500
2016.11.18,13:15:00,3392,3396.5,3387,3388,13884,5605,500
2016.11.18,13:00:00,3388.5,3395.5,3387,3392,16884,6143,500
2016.11.18,12:45:00,3396.5,3397.5,3387,3389,15171,5391,500
2016.11.18,12:30:00,3394,3399,3389,3396.5,16950,7112,500
2016.11.18,12:15:00,3390,3395.5,3386.5,3394,13537,5469,500
2016.11.18,12:00:00,3402.5,3403,3386.5,3390,32826,12353,500
2016.11.18,11:45:00,3409,3414,3402,3403,22098,8555,500
2016.11.18,11:30:00,3403.5,3409.5,3397.5,3409,19168,7328,500
2016.11.18,11:15:00,3405.5,3412,3400.5,3404,26128,9721,500
2016.11.18,11:00:00,3406,3409.5,3397.5,3405.5,30277,11992,500
2016.11.18,10:45:00,3411.5,3412.5,3402,3406,24404,9818,500
2016.11.18,10:30:00,3415.5,3416.5,3407,3411.5,19858,7840,500
2016.11.18,10:15:00,3418,3419.5,3413,3416,13487,5525,500
2016.11.18,10:00:00,3424.5,3426,3411.5,3417.5,29573,11307,500
2016.11.18,9:45:00,3438,3438.5,3424,3424.5,22727,9416,500
2016.11.18,9:30:00,3441,3443,3435,3438,16388,7049,500
2016.11.18,9:15:00,3446.5,3447.5,3440.5,3441.5,13740,5742,500
2016.11.18,9:00:00,3452.5,3455,3439.5,3446.5,20271,8969,500
2016.11.17,18:00:00,3435.5,3439.5,3432.5,3437,2916,841,500
2016.11.17,17:45:00,3440,3441.5,3434,3435.5,5755,2327,500
2016.11.17,17:30:00,3435,3444,3434.5,3440,9893,4226,500
2016.11.17,17:15:00,3431.5,3440,3427,3435,13378,5659,500
2016.11.17,17:00:00,3432.5,3445,3426.5,3431.5,21692,9395,500
2016.11.17,16:45:00,3436.5,3438.5,3430.5,3433,8617,4017,500
2016.11.17,16:30:00,3434.5,3439.5,3433,3436.5,8665,3865,500
2016.11.17,16:15:00,3433.5,3436,3430.5,3434.5,5694,2799,500
2016.11.17,16:00:00,3440.5,3442,3430,3433.5,14094,5416,500
2016.11.17,15:45:00,3431,3441,3430.5,3440.5,22117,8839,500
2016.11.17,15:30:00,3427,3434,3426,3431.5,11655,5062,500
2016.11.17,15:15:00,3429.5,3431,3425,3426.5,10370,4371,500
2016.11.17,15:00:00,3429,3433,3426,3429,13823,5862,500
2016.11.17,14:45:00,3421.5,3431.5,3417,3429,14881,6413,500
2016.11.17,14:30:00,3414.5,3422.5,3413.5,3422,11395,4554,500
2016.11.17,14:15:00,3410,3415.5,3410,3414.5,10121,4392,500
2016.11.17,14:00:00,3419.5,3421,3406,3410,16315,6653,500
2016.11.17,13:45:00,3418.5,3425,3415,3419,18381,7654,500
2016.11.17,13:30:00,3413,3422,3412.5,3419,18421,8073,500
2016.11.17,13:15:00,3407.5,3415.5,3406,3412.5,16919,7061,500
2016.11.17,13:00:00,3408,3413,3404.5,3407,18580,6490,500
2016.11.17,12:45:00,3418,3421.5,3407,3408,19842,7022,500
2016.11.17,12:30:00,3413.5,3420,3409,3417.5,21130,8601,500
2016.11.17,12:15:00,3427.5,3427.5,3413,3413,28329,10310,500
2016.11.17,12:00:00,3432,3435,3424.5,3427,20794,8241,500
2016.11.17,11:45:00,3436,3443,3432,3432.5,21516,8516,500
2016.11.17,11:30:00,3428,3438.5,3425,3436,26132,9353,500
2016.11.17,11:15:00,3426.5,3430,3423.5,3428,11013,4017,500
2016.11.17,11:00:00,3421.5,3432,3416.5,3426.5,24182,8904,500
2016.11.17,10:45:00,3423,3424.5,3418.5,3421.5,8815,4506,500
2016.11.17,10:30:00,3422,3427.5,3421,3423.5,9609,4321,500
2016.11.17,10:15:00,3419.5,3428,3418,3422,18295,7828,500
2016.11.17,10:00:00,3411.5,3419.5,3410.5,3419.5,14481,6687,500
2016.11.17,9:45:00,3411,3419,3407.5,3412,17300,7959,500
2016.11.17,9:30:00,3410.5,3416.5,3409,3410.5,10626,6022,500
2016.11.17,9:15:00,3413.5,3416.5,3401.5,3410.5,28049,12804,500
2016.11.17,9:00:00,3418.5,3429,3413.5,3413.5,24382,10902,500
2016.11.16,18:00:00,3443,3444,3435.5,3437.5,2711,710,500
2016.11.16,17:45:00,3437,3444,3433,3443,4999,2027,500
2016.11.16,17:30:00,3438,3446,3436.5,3437,7796,3553,500
2016.11.16,17:15:00,3440.5,3442.5,3436,3438.5,4288,2204,500
2016.11.16,17:00:00,3437.5,3444.5,3435,3440.5,7049,3535,500
2016.11.16,16:45:00,3439.5,3441.5,3436,3438,5097,2712,500
2016.11.16,16:30:00,3446.5,3448,3436.5,3439.5,10260,4764,500
2016.11.16,16:15:00,3446,3449.5,3443,3446,8537,4343,500
2016.11.16,16:00:00,3437.5,3452,3436.5,3446,13917,6488,500
2016.11.16,15:45:00,3431.5,3439,3430.5,3437.5,5687,3166,500
2016.11.16,15:30:00,3435.5,3435.5,3429.5,3431.5,7306,4171,500
2016.11.16,15:15:00,3434,3438.5,3433.5,3435.5,5984,3335,500
2016.11.16,15:00:00,3436.5,3440,3434,3434,6542,3647,500
2016.11.16,14:45:00,3447.5,3448,3433.5,3436.5,12826,7145,500
2016.11.16,14:30:00,3439,3449,3438.5,3447.5,10985,5514,500
2016.11.16,14:15:00,3438.5,3445.5,3434,3439,11104,5269,500
2016.11.16,14:00:00,3436.5,3443.5,3432,3438,15290,7586,500
2016.11.16,13:45:00,3429.5,3440,3429,3437,16714,8668,500
2016.11.16,13:30:00,3428.5,3434.5,3423,3429,15860,7909,500
2016.11.16,13:15:00,3428.5,3431.5,3425.5,3428,6938,3990,500
2016.11.16,13:00:00,3429,3432,3424.5,3428.5,10594,5368,500
2016.11.16,12:45:00,3431,3440.5,3428.5,3429.5,14541,6812,500
2016.11.16,12:30:00,3424.5,3436.5,3424.5,3431,13853,7378,500
2016.11.16,12:15:00,3421.5,3426,3419.5,3424,11568,5489,500
2016.11.16,12:00:00,3436.5,3436.5,3421.5,3422,18952,8393,500
2016.11.16,11:45:00,3435.5,3444,3432.5,3437,16430,8241,500
2016.11.16,11:30:00,3442.5,3443.5,3431.5,3435.5,21839,10455,500
2016.11.16,11:15:00,3455,3456,3440,3442.5,13986,6353,500
2016.11.16,11:00:00,3444.5,3458,3441,3455.5,22414,10091,500
2016.11.16,10:45:00,3455,3455.5,3442.5,3444.5,12879,6414,500
2016.11.16,10:30:00,3444.5,3461,3443.5,3454.5,19036,9764,500
2016.11.16,10:15:00,3445,3454,3443,3444.5,14170,7090,500
2016.11.16,10:00:00,3434.5,3445.5,3432.5,3445.5,14035,6813,500
2016.11.16,9:45:00,3435,3440,3431,3435,16848,8134,500
2016.11.16,9:30:00,3438.5,3442,3433.5,3435,14944,7853,500
2016.11.16,9:15:00,3445,3451,3438,3438.5,18916,10347,500
2016.11.16,9:00:00,3415,3449,3411,3445,24742,11401,500
2016.11.14,18:00:00,3452.5,3457.5,3450,3451.5,2635,784,500
2016.11.14,17:45:00,3460,3462,3452,3453,5338,2269,500
2016.11.14,17:30:00,3463.5,3463.5,3458,3460.5,6125,3315,500
2016.11.14,17:15:00,3462.5,3466.5,3461.5,3463,3378,2010,500
2016.11.14,17:00:00,3459,3466,3458,3462.5,4416,2428,500
2016.11.14,16:45:00,3460,3466.5,3457,3459,9041,4805,500
2016.11.14,16:30:00,3461,3461.5,3456,3460,4512,2418,500
2016.11.14,16:15:00,3455.5,3466,3455,3461,6726,3832,500
2016.11.14,16:00:00,3463.5,3465,3455,3456,9300,4940,500
2016.11.14,15:45:00,3462,3466,3452.5,3463.5,12715,7330,500
2016.11.14,15:30:00,3464.5,3465.5,3460,3461.5,6682,3793,500
2016.11.14,15:15:00,3466.5,3469.5,3460.5,3464.5,9293,5063,500
2016.11.14,15:00:00,3467,3473.5,3464.5,3466,9267,5229,500
2016.11.14,14:45:00,3467.5,3471,3463,3467.5,8527,5354,500
2016.11.14,14:30:00,3471.5,3475.5,3462.5,3468,10345,6522,500
2016.11.14,14:15:00,3470.5,3474,3466.5,3471,8305,5071,500
2016.11.14,14:00:00,3480.5,3481.5,3468.5,3470.5,13073,7989,500
2016.11.14,13:45:00,3483.5,3487,3476.5,3480,13679,8280,500
2016.11.14,13:30:00,3472.5,3483.5,3465.5,3483,15906,9177,500
2016.11.14,13:15:00,3466,3476.5,3464,3472.5,13934,8202,500
2016.11.14,13:00:00,3471,3477,3462,3466,16727,10241,500
2016.11.14,12:45:00,3461.5,3475,3458,3471.5,14502,8709,500
2016.11.14,12:30:00,3457,3467.5,3448,3461.5,18794,11905,500
2016.11.14,12:15:00,3447,3462,3443,3457,20929,12582,500
2016.11.14,12:00:00,3442,3452.5,3441,3447,21282,13355,500
2016.11.14,11:45:00,3456.5,3457.5,3441.5,3441.5,23688,13943,500
2016.11.14,11:30:00,3457,3467,3452.5,3456.5,15833,9142,500
2016.11.14,11:15:00,3465,3478,3454.5,3457,21250,11925,500
2016.11.14,11:00:00,3453.5,3478,3447,3464.5,22741,13921,500
2016.11.14,10:45:00,3462.5,3466.5,3452,3453.5,14801,8757,500
2016.11.14,10:30:00,3448,3464.5,3440.5,3463,18789,10388,500
2016.11.14,10:15:00,3444.5,3454,3443,3448,13666,8122,500
2016.11.14,10:00:00,3467.5,3471.5,3440,3444.5,20044,11159,500
2016.11.14,9:45:00,3482,3485,3466,3467.5,23512,12839,500
2016.11.14,9:30:00,3477,3482.5,3458,3482.5,18741,11685,500
2016.11.14,9:15:00,3483,3492,3466.5,3476.5,23536,14457,500
2016.11.14,9:00:00,3459.5,3487,3446,3483.5,24170,12336,500
