date,hour,open,high,low,close,real_volume,tick_volume,spread
2016.11.18,18:00:00,60490,60570,60365,60450,8971,1476,5
2016.11.18,17:45:00,60500,60540,60420,60490,8322,2511,5
2016.11.18,17:30:00,60575,60600,60360,60490,16620,5550,5
2016.11.18,17:15:00,60290,60665,60270,60575,37487,12141,5
2016.11.18,17:00:00,60485,60515,60235,60295,25845,8143,5
2016.11.18,16:45:00,60485,60600,60465,60490,16938,5502,5
2016.11.18,16:30:00,60575,60600,60440,60490,17959,6345,5
2016.11.18,16:15:00,60390,60625,60360,60580,27849,9131,5
2016.11.18,16:00:00,60485,60530,60290,60385,28781,9599,5
2016.11.18,15:45:00,60295,60520,60260,60485,24524,8462,5
2016.11.18,15:30:00,60185,60415,60180,60300,38431,12470,5
2016.11.18,15:15:00,60030,60195,60025,60195,18993,6521,5
2016.11.18,15:00:00,60230,60235,59970,60030,28492,9800,5
2016.11.18,14:45:00,60190,60245,60065,60230,23257,8327,5
2016.11.18,14:30:00,60085,60195,59955,60190,24247,8554,5
2016.11.18,14:15:00,60030,60150,59920,60080,30328,11372,5
2016.11.18,14:00:00,59890,60110,59840,60025,30870,11357,5
2016.11.18,13:45:00,59955,60065,59785,59885,34638,12319,5
2016.11.18,13:30:00,60130,60130,59850,59950,41784,14862,5
2016.11.18,13:15:00,60330,60340,60025,60125,40344,14522,5
2016.11.18,13:00:00,60525,60565,60230,60330,34260,12675,5
2016.11.18,12:45:00,60590,60750,60485,60525,31106,12197,5
2016.11.18,12:30:00,60435,60730,60400,60595,47135,18121,5
2016.11.18,12:15:00,60630,60675,60370,60435,24148,9570,5
2016.11.18,12:00:00,60365,60680,60365,60635,30997,11085,5
2016.11.18,11:45:00,60400,60460,60290,60370,15962,6218,5
2016.11.18,11:30:00,60220,60465,60215,60400,32727,12199,5
2016.11.18,11:15:00,60230,60255,60020,60225,33052,12703,5
2016.11.18,11:00:00,60305,60360,60125,60225,36092,13297,5
2016.11.18,10:45:00,60360,60475,60245,60305,26912,9964,5
2016.11.18,10:30:00,60410,60565,60305,60355,28652,10583,5
2016.11.18,10:15:00,60310,60495,60215,60405,29160,11223,5
2016.11.18,10:00:00,60100,60370,60085,60310,30445,11388,5
2016.11.18,9:45:00,60035,60125,59950,60110,19628,7586,5
2016.11.18,9:30:00,60120,60155,59985,60025,19634,7385,5
2016.11.18,9:15:00,59970,60120,59935,60110,13991,5422,5
2016.11.18,9:00:00,59890,60010,59760,59970,13000,5288,5
2016.11.17,18:00:00,60195,60305,60085,60280,7790,1519,5
2016.11.17,17:45:00,60370,60390,60140,60195,11846,3979,5
2016.11.17,17:30:00,60385,60485,60340,60375,13406,4957,5
2016.11.17,17:15:00,60550,60630,60360,60385,20879,7567,5
2016.11.17,17:00:00,60775,60780,60495,60550,41531,15223,5
2016.11.17,16:45:00,60885,60945,60760,60770,21454,7876,5
2016.11.17,16:30:00,61100,61180,60830,60880,32369,11711,5
2016.11.17,16:15:00,61205,61210,61015,61100,24724,9009,5
2016.11.17,16:00:00,61250,61300,61075,61205,18054,6975,5
2016.11.17,15:45:00,61245,61290,61120,61250,25342,9734,5
