frequencies;date_range;0;1;2;3;4;total;0;1;2;3;4;1&2;3&4&0
1M_03M;2019.11.21_2021.01.20;8104,00;19858;19502;2348;2458;52270,00;15,5%;38,0%;37,3%;4,5%;4,7%;75,3%;24,7%
1M_05M;2015.08.12_2015.12.30;804,00;4145;4271;469;494;10183,00;7,9%;40,7%;41,9%;4,6%;4,9%;82,6%;17,4%
1M_05M;2016.08.03_2016.11.18;714,00;3347;3199;421;357;8038,00;8,9%;41,6%;39,8%;5,2%;4,4%;81,4%;18,6%
1M_05M;2019.11.21_2021.01.20;2175,00;13046;12724;1653;1685;31283,00;7,0%;41,7%;40,7%;5,3%;5,4%;82,4%;17,6%
1M_10M;2015.08.12_2015.12.30;155,00;2183;2231;295;272;5136,00;3,0%;42,5%;43,4%;5,7%;5,3%;85,9%;14,1%
1M_10M;2016.08.03_2016.11.18;226,00;1795;1686;233;181;4121,00;5,5%;43,6%;40,9%;5,7%;4,4%;84,5%;15,5%
1M_10M;2019.11.21_2021.01.20;486,00;6842;6688;873;873;15762,00;3,1%;43,4%;42,4%;5,5%;5,5%;85,8%;14,2%
1M_15M;2015.08.12_2015.12.30;83,00;1478;1484;192;189;3426,00;2,4%;43,1%;43,3%;5,6%;5,5%;86,5%;13,5%
1M_15M;2016.08.03_2016.11.18;144,00;1223;1157;139;126;2789,00;5,2%;43,9%;41,5%;5,0%;4,5%;85,3%;14,7%
1M_15M;2019.11.21_2021.01.20;231,00;4563;4491;610;639;10534,00;2,2%;43,3%;42,6%;5,8%;6,1%;86,0%;14,0%
1M_30M;2015.08.12_2015.12.30;26,00;742;754;98;96;1716,00;1,5%;43,2%;43,9%;5,7%;5,6%;87,2%;12,8%
1M_30M;2016.08.03_2016.11.18;44,00;610;574;72;55;1355,00;3,2%;45,0%;42,4%;5,3%;4,1%;87,4%;12,6%
1M_30M;2019.11.21_2021.01.20;103,00;2328;2276;304;290;5301,00;1,9%;43,9%;42,9%;5,7%;5,5%;86,9%;13,1%
